trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.05, 'e': 0.679395559218802}",25,9,-53.62851427962964,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.05, 'e': 0.6685322037278014}",25,1,-14.069548117238318,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.05, 'e': 0.6576380890884074}",20,0,-38.43030909067764,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
149,False,"{'a': 0.05, 'e': 0.6467237215992157}",20,9,-18.870774316101624,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.05, 'e': 0.6357993532402721}",30,14,-74.7393478965288,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
151,False,"{'a': 0.05, 'e': 0.6248749603044219}",25,0,-49.63256094501934,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
152,False,"{'a': 0.05, 'e': 0.6139602244800901}",30,0,-91.13796392098942,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
153,False,"{'a': 0.05, 'e': 0.6030645163205943}",20,12,5.97688458241511,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.5921968810231085}",30,11,-62.33698254119761,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.5813660264302908}",25,15,-16.642585939766338,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.05, 'e': 0.5705803131592293}",25,8,-24.82847462472915,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
157,False,"{'a': 0.05, 'e': 0.5598477467556702}",20,16,11.220089689513479,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.05, 'e': 0.5491759717663299}",35,0,-97.18247751503627,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 2}",0
159,False,"{'a': 0.05, 'e': 0.5385722676183555}",25,14,-0.17853562432976244,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.05, 'e': 0.5280435461925519}",20,11,5.1343655068079395,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.05, 'e': 0.5175963509757258}",25,0,-20.445956810130863,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
162,False,"{'a': 0.05, 'e': 0.5072368576772832}",25,11,0.35451764430948707,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.05, 'e': 0.4969708761959373}",30,18,7.143580745354826,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.05, 'e': 0.48680385382392966}",25,6,-69.57406668651902,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
165,False,"{'a': 0.05, 'e': 0.4767408795784358}",20,0,-39.22043496899582,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
166,False,"{'a': 0.05, 'e': 0.4667866895527}",25,0,-20.10189075024486,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
167,False,"{'a': 0.05, 'e': 0.4569456731828371}",25,15,11.393122098810395,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.05, 'e': 0.4472218803300714}",30,12,-49.99040470184962,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
169,False,"{'a': 0.05, 'e': 0.43761902908234496}",20,0,-59.70227584170031,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
170,False,"{'a': 0.05, 'e': 0.4281405141836736}",20,0,-78.29675407884082,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
171,False,"{'a': 0.05, 'e': 0.4187894160042659}",25,13,14.502433772319037,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
